Method, Start Location, Run Time (s), Mean Steps, STD Steps
Value_Iteration, 0, 467.7168245315552, 139.70333333333335, 5.101828648196209
Q Learning, 0, 83.27761507034302, 143.09333333333333, 5.15732057909488
SARSA, 0, 111.50867795944214, 148.24333333333334, 5.11508770425515
Elligibility, 0, 15120, 143.76333333333332, 4.972657460777107
Baseline_Down, 0, 0, 260.4, 17.09288350942189
Baseline_Across, 0, 0, 991.24, 41.48295714306459
Baseline_Straight, 0, 0, 142.83, 9.93920352275104
Value_Iteration, 1, 467.7168245315552, 140.78, 5.130782916215939
Q Learning, 1, 83.27761507034302, 154.29, 5.850860335597378
SARSA, 1, 111.50867795944214, 149.21666666666667, 5.368710790828237
Elligibility, 1, 15120, 156.48333333333332, 5.438417866336577
Baseline_Down, 1, 0, 239.02666666666667, 1.1072287729080905
Baseline_Across, 1, 0, 162.86, 5.002039584009706
Baseline_Straight, 1, 0, 162.98666666666668, 4.826298328486911
Value_Iteration, 2, 467.7168245315552, 91.25, 3.6259481518631786
Q Learning, 2, 83.27761507034302, 94.77666666666667, 1.1972700428706782
SARSA, 2, 111.50867795944214, 94.51666666666667, 1.1845064607487608
Elligibility, 2, 15120, 94.51, 1.3747363383572866
Baseline_Down, 2, 0, 110.0, 0.0
Baseline_Across, 2, 0, 94.39, 1.29790857407857
Baseline_Straight, 2, 0, 94.39666666666666, 1.361122902443257
Value_Iteration, 3, 467.7168245315552, 83.89333333333333, 4.153146063193808
Q Learning, 3, 83.27761507034302, 84.79666666666667, 4.12334680676861
SARSA, 3, 111.50867795944214, 87.49333333333334, 4.286018613533492
Elligibility, 3, 15120, 84.93666666666667, 3.977351156513871
Baseline_Down, 3, 0, 118.52, 5.358134003550116
Baseline_Across, 3, 0, 952.59, 136.99555430742998
Baseline_Straight, 3, 0, 85.94333333333333, 4.983986579257836
Value_Iteration, 4, 467.7168245315552, 132.00333333333333, 7.952986161743832
Q Learning, 4, 83.27761507034302, 150.92, 10.338613704618881
SARSA, 4, 111.50867795944214, 155.68666666666667, 14.775717316672726
Elligibility, 4, 15120, 165.58, 18.000099999722224
Baseline_Down, 4, 0, 150.15666666666667, 11.352185790508463
Baseline_Across, 4, 0, 960.4366666666666, 112.80132677509704
Baseline_Straight, 4, 0, 670.8666666666667, 312.9238601037355
